"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.copy.Inline64int.Val_to_Val_arraycopy","avgt",1,15,9.602158,0.076216,"ns/op",100
"kotlin_benchmarks.array.copy.Inline64int.Val_to_Val_arraycopy","avgt",1,15,73524.209703,6026.083903,"ns/op",1000000
"kotlin_benchmarks.array.copy.Inline64int.Val_to_Val_copy","avgt",1,15,176.508189,1.699829,"ns/op",100
"kotlin_benchmarks.array.copy.Inline64int.Val_to_Val_copy","avgt",1,15,21678619.846275,5550024.142339,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Ref_to_Val_arraycopy","avgt",1,15,9.888453,0.180148,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Ref_to_Val_arraycopy","avgt",1,15,77821.994388,5771.033886,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Ref_to_Val_copy","avgt",1,15,78.130629,0.757592,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Ref_to_Val_copy","avgt",1,15,23601695.250035,8821939.975390,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Ref_arraycopy","avgt",1,15,9.902488,0.158253,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Ref_arraycopy","avgt",1,15,72363.911834,2979.079830,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Ref_copy","avgt",1,15,77.313723,0.567425,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Ref_copy","avgt",1,15,27222912.734050,5012617.295701,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Val_arraycopy","avgt",1,15,9.976882,0.140361,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Val_arraycopy","avgt",1,15,72660.640480,5389.468380,"ns/op",1000000
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Val_copy","avgt",1,15,77.673506,0.549939,"ns/op",100
"kotlin_benchmarks.array.copy.InlineOpt.Val_to_Val_copy","avgt",1,15,30448397.751928,4898884.077944,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive128.p128int_arraycopy","avgt",1,15,28.684341,0.092080,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive128.p128int_arraycopy","avgt",1,15,440839.240198,178171.683204,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive128.p128int_copy","avgt",1,15,55.255885,18.053890,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive128.p128int_copy","avgt",1,15,1608435.767687,331220.736213,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive32.p32int_arraycopy","avgt",1,15,30.486805,4.225103,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive32.p32int_arraycopy","avgt",1,15,445775.636299,67537.793497,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive32.p32int_copy","avgt",1,15,47.021041,5.988528,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive32.p32int_copy","avgt",1,15,443057.931760,115365.911382,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64byte_arraycopy","avgt",1,15,36.344219,7.155639,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64byte_arraycopy","avgt",1,15,391769.274474,116242.832167,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64byte_copy","avgt",1,15,29.656934,9.597306,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64byte_copy","avgt",1,15,381003.760630,85192.979731,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64int_arraycopy","avgt",1,15,17.796847,4.205662,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64int_arraycopy","avgt",1,15,214628.487020,94728.267046,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64int_copy","avgt",1,15,13.793613,1.720321,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64int_copy","avgt",1,15,265937.396674,41880.301049,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64long_arraycopy","avgt",1,15,27.842239,10.626287,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64long_arraycopy","avgt",1,15,282369.923995,115351.467582,"ns/op",1000000
"kotlin_benchmarks.array.copy.Primitive64.p64long_copy","avgt",1,15,34.674050,9.791670,"ns/op",100
"kotlin_benchmarks.array.copy.Primitive64.p64long_copy","avgt",1,15,545272.954179,257386.392664,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,271.457090,57.025510,"ns/op",100
"kotlin_benchmarks.array.fill.Identity32int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,33262191.069094,21516805.075493,"ns/op",1000000
"kotlin_benchmarks.array.fill.Identity32int.Def_to_Ref_as_Ref_fill","avgt",1,15,656.517292,335.482730,"ns/op",100
